id,name,hazardous
3102669,(2001 XQ),True
54200300,(2021 SN1),True
54161734,(2021 MX),True
3179354,(2004 GE2),True
2068950,68950 (2002 QF15),True
2613986,613986 (2008 JG),True
2405762,405762 (2005 YO180),True
54161704,(2021 KG10),True
3092385,(2001 TC45),True
3132128,(2002 PR1),True
54201805,(2021 SX3),True
3313976,(2006 BX39),True
3574783,(2011 PS),True
3553279,(2010 XB24),True
2533372,533372 (2014 GG17),True
54204643,(2021 TG4),True
3602023,(2012 FG58),True
2488789,488789 (2004 XK50),True
2526878,526878 (2007 FE),True
3152314,(2003 GG21),True
2067381,67381 (2000 OL8),True
3757288,(2016 PN38),True
3778659,(2017 OP19),True
54081200,(2020 UR6),True
3102719,(2001 YB5),True
2401954,401954 (2002 RW25),True
3366807,(2007 BD7),True
2395207,395207 (2010 HQ80),True
3651169,(2013 TT135),True
2162039,162039 (1996 JG),True
2365071,365071 (2009 AV),True
3125003,(2002 JE9),True
2359170,359170 (2009 CN5),True
2162695,162695 (2000 UL11),True
3837975,(2019 BP1),True
3125005,(2002 JQ9),True
3441093,(2008 XB1),True
2208115,208115 (2000 CT101),True
3263539,(2004 XN29),True
3757573,(2016 OP5),True
3550082,(2010 UQ7),True
2162922,162922 (2001 OY13),True
3786451,(2017 TN6),True
3092289,(2001 CA21),True
2471323,471323 (2011 KW15),True
3795078,(2017 YE5),True
3730321,(2015 TR178),True
54054507,(2020 ST1),True
3604307,(2012 KC6),True
2441987,441987 (2010 NY65),True
3647695,(2013 RC32),True
54050980,(2020 PB1),True
54106307,(2021 BW),True
54202335,(2021 SP4),True
3610765,(2012 TJ146),True
3893643,(2019 WL4),True
2450142,450142 (1998 XN2),True
2247360,247360 (2001 XU),True
3334436,(2006 KD40),True
2022753,22753 (1998 WT),True
2529366,529366 (2009 WM1),True
3367903,(2007 CS26),True
3764847,(2016 WG9),True
2538212,538212 (2016 CA136),True
3892745,(2019 VL4),True
2085713,85713 (1998 SS49),True
2162882,162882 (2001 FD58),True
2450300,450300 (2004 QD14),True
3796292,(2017 YS8),True
3674069,(2014 MR26),True
2377097,377097 (2002 WQ4),True
2503941,503941 (2003 UV11),True
3837902,(2019 AG13),True
3789083,(2017 UQ51),True
3127390,(2002 LX),True
2348306,348306 (2005 AY28),True
3736248,(2015 XD130),True
2037655,37655 Illapa (1994 PM),True
3102743,(2002 AT4),True
54143414,(2021 JY),True
3825814,(2018 NF15),True
2144332,144332 (2004 DV24),True
3397494,(2007 XN),True
2452807,452807 (2006 KV89),True
54096432,(2020 WM5),True
3521439,(2010 JN71),True
3838104,(2019 CH1),True
2068346,68346 (2001 KZ66),True
2173561,173561 (2000 YV137),True
2008566,8566 (1996 EN),True
3933022,(2019 XQ3),True
3454731,(2009 FU4),True
3761480,(2016 UZ25),True
3249347,(2004 PS42),True
3989281,(2020 BS12),True
2462238,462238 (2008 CN1),True
3840128,(2019 FH),True
2413577,413577 (2005 UL5),True
3634388,(2013 GR38),True
2509352,509352 (2007 AG),True
2242643,242643 (2005 NZ6),True
2523934,523934 (1998 FF14),True
3781457,(2017 RR15),True
3989144,(2020 BC6),True
3767325,(2017 BK92),True
54105102,(2021 AE4),True
2523606,523606 (2005 CJ),True
2140288,140288 (2001 SN289),True
54133135,(2021 FG3),True
2481394,481394 (2006 SF6),True
3606253,(2012 OQ),True
3409964,(2008 JG),True
3293832,(2005 TF49),True
3661368,(2014 CY4),True
2192563,192563 (1998 WZ6),True
3648716,(2013 SW24),True
3781594,(2017 SN2),True
2250620,250620 (2005 GE59),True
54109176,(2021 BM3),True
2085585,85585 Mjolnir (1998 FG2),True
3712670,(2015 DN215),True
2008014,8014 (1990 MF),True
3794988,(2017 YZ1),True
3303213,(2005 WD),True
3802102,(2018 FJ5),True
3831203,(2018 TO1),True
3549036,(2010 TS149),True
3013075,(6344 P-L),True
2356991,356991 (1998 QA1),True
54054354,(2020 RH7),True
2216258,216258 (2006 WH1),True
3714579,(2015 FE120),True
2417634,417634 (2006 XG1),True
2086039,86039 (1999 NC43),True
3251712,(2004 RE84),True
3251517,(2004 RW10),True
3836663,(2018 WP2),True
2424482,424482 (2008 DG5),True
3893551,(2019 WF3),True
3699901,(2014 WK368),True
2450293,450293 (2004 LV3),True
3741147,(2016 BT39),True
3686160,(2014 QK434),True
3321667,(2006 CT10),True
3775155,(2017 KN34),True
3578980,(2011 SO32),True
3775207,(2017 MA),True
3445537,(2009 BD81),True
2513171,513171 (2004 MD6),True
3599866,(2012 DK31),True
2613569,613569 (2006 TU7),True
54240417,(2022 BJ4),True
3381449,(2007 PF28),True
3120894,(2002 GZ8),True
3794976,(2017 YH1),True
2175706,175706 (1996 FG3),True
3338136,(2006 PY17),True
3685808,(2014 QX432),True
3549033,(2010 TP55),True
3150771,(2003 EG16),True
3258074,(2004 UR1),True
54049354,(2020 ON3),True
3782067,(2017 TK1),True
3567993,(2011 LC19),True
3719183,(2015 JD1),True
3713304,(2015 FJ),True
3267066,(2005 CL),True
2458723,458723 (2011 KQ12),True
3753590,(2016 JT38),True
2531944,531944 (2013 CU83),True
2386454,386454 (2008 XM),True
3843131,(2019 NE2),True
2002101,2101 Adonis (1936 CA),True
2435548,435548 (2008 QT3),True
2614433,614433 (2009 KK),True
2471926,471926 Jormungandr (2013 KN6),True
54245557,(2022 CQ1),True
54054627,(2020 SP4),True
3826837,(2018 PQ23),True
3426408,(2008 QS11),True
3892653,(2019 VD2),True
3766294,(2017 AE3),True
2389694,389694 (2011 QD48),True
3909261,(2019 XO2),True
3661493,(2014 CD13),True
3529053,(2010 LK34),True
3614394,(2012 UR136),True
3648205,(2013 RH74),True
2612856,612856 (2004 TP1),True
2139211,139211 (2001 GN2),True
2504034,504034 (2005 UJ159),True
3747314,(2016 EH157),True
